"game_id","play_id","play_out","reached_base_on_error","error","fielding_chance","launch_angle","exit_velocity","fielder_angle","fielder_distance","fielder_burst_distance","fielder_reaction_distance","fielder_routing_distance","fielder_jump_distance","start_player_angle","end_player_angle","start_player_position","end_player_position","fielding_zone"
717394,e8f81ff5-d390-4b12-9d82-1df91e4872b9,1,0,0,1,9.592304,67.218240,125.445,78.606,28.424,8.873,1.446,35.346,-34.826,-31.835,124.309,124.383,Standard Back
717395,"0512ff57-19a2-48ae-b268-d8ed5f912c1f",1,0,0,1,19.229574,83.726430,,12.063,,,,,-30.571,-31.766,103.181,101.693,Standard Back
717395,"25a947dd-c77e-40c3-baff-d4972ee7ff19",1,0,0,1,47.243815,65.042099,-122.668,42.445,22.026,4.363,5.546,20.595,-21.18,-27.664,144.087,178.228,Back
717395,b5a54114-0b82-4d2d-b53e-9d1547dd974c,1,0,0,1,-29.396045,24.833450,41.999,51.422,23.072,16.259,0.954,37.754,-36.111,-36.043,80.838,80.243,Standard In
717395,c9f9566d-80e5-41ea-aa6d-00827e94709c,2,0,0,1,-16.030798,90.269720,-6.457,16.098,4.044,6.494,4.737,5.604,-33.494,-33.541,122.079,121.982,Standard Back
717396,"831e4562-4b75-4d2d-9f83-772c6e18d6c0",1,0,0,1,1.305978,73.136040,126.391,62.637,25.582,6.803,1.273,30.671,-34.531,-34.377,117.857,117.74,Standard Back
717396,"9f452dae-c6d7-415a-96cc-2135bb0dffaa",1,0,0,1,10.679062,70.574195,104.265,22.498,7.542,3.28,6.975,3.755,-35.763,-36.87,128.763,128.516,Standard Back
717396,d14b29a5-5b2d-4e48-8242-25f9c0f9c193,1,0,0,1,0.111818,98.169949,84.472,17.241,10.502,4.787,1.823,13.336,-35.395,-35.296,124.101,123.857,Standard Back
717396,e38406ce-5205-4d6b-a4bb-82f846d50130,1,0,0,1,7.749808,96.325303,,,3.185,2.359,2.704,2.777,-33.899,-33.844,117.273,116.358,Standard Back
717397,"3b6a16eb-ff43-4df6-a9bc-390aabd29a8a",0,1,1,1,-15.454884,99.577398,147.079,113.968,30.013,8.778,1.335,36.747,-27.221,-27.215,134.986,134.976,Back
717397,"47058910-331e-4506-a90f-695b01ffb43d",1,0,0,1,-0.812360,81.538394,-55.148,53.984,17.615,6.104,2.103,21.261,-22.477,-22.484,127.521,127.53,Standard Back
717397,b862c80a-19e2-4242-a605-3732cdc7c6c5,2,0,0,1,-20.042417,94.667812,44.457,80.279,25.145,5.215,2.21,27.76,-38.202,-38.204,114.621,114.611,Standard Back
